"Sample_ID","ID.short","Hapke_ID","Joerg_ID2","Joerg_ID","Originalbezeichnung","tubeID","Duke_box","cell","Transect","ULM","Duke","habitat","habitat2","locality","GridKoord","SiteID","Site_ne_2006","PointsID","lat","long","year","sex","body_mass","mtHap","species","species_mtDNA","hybrid","DNAconc","DNAamount","SentToPaulHohenlohe_181127","sequenced_181127","remarks_JP","GenBank_accession","Hapke_mtID","HV1_haplotype_label","lat.hapke","lon.hapke"
"2006","mhyb001",NA,"2006","2006","2006","2006","1_6A",206,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"f","49","","hybrid","mgri","H",34.8,1009.2,"1",1,"",NA,NA,NA,NA,NA
"2009","mhyb002",NA,"2009","2009","2009","2009","1_9A",209,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"m","66","","hybrid","mmur","H",32.2,933.8,"1",1,"",NA,NA,NA,NA,NA
"2019","mgri072",NA,"2019","2019","2019","2019","1_3B",219,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"m","56","","mgri","mgri","NH",39,1131,"1",1,"",NA,NA,NA,NA,NA
"2020","mgri073",NA,"2020","2020","2020","2020","1_4B",220,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"f","63","","mgri","mgri","NH",13.9,403.1,"1",1,"",NA,NA,NA,NA,NA
"2021","mgri074",NA,"2021","2021","2021","2021","1_5B",221,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"m","56","","mgri","mgri","NH",22.4,649.6,"1",1,"",NA,NA,NA,NA,NA
"2026","mhyb003",NA,"2026","2026","2026","2026","1_8B",226,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"m","51","","hybrid","mgri","H",28.2,817.8,"1",1,"",NA,NA,NA,NA,NA
"2027","mhyb004",NA,"2027","2027","2027","2027","1_9B",227,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"f","56","","hybrid","mgri","H",32.6,945.4,"1",1,"",NA,NA,NA,NA,NA
"2033","mhyb005",NA,"2033","2033","2033","2033","1_C5",233,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"m","52","","hybrid","mgri","H",15,435,"1",1,"",NA,NA,NA,NA,NA
"2034","mhyb006",NA,"2034","2034","2034","2034","1_C6",234,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"m","59","","hybrid","mgri","H",19.3,559.7,"1",1,"",NA,NA,NA,NA,NA
"886","mgri068",NA,"886","886","886","886","1_1A",201,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"un","","","mgri/hybrid","mmur","H",12.5,362.5,"1",1,"Ludemann thesis: msats mgri, mt mmur",NA,NA,NA,NA,NA
"887","mgri069",NA,"887","887","887","887","1_2A",202,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"un","","","mgri/hybrid","mmur","H",12.7,368.3,"1",1,"Ludemann thesis: msats mgri, mt mmur",NA,NA,NA,NA,NA
"889","mgri070",NA,"889","889","889","889","1_4A",204,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"un","","","mgri","mgri","NH",20.6,597.4,"1",1,"",NA,NA,NA,NA,NA
"890","mgri071",NA,"890","890","890","890","1_5A",205,"","200",30,"","","Mangatsiaka","","MG","","","","",2017,"un","","","mgri/hybrid","mmur","H",28.8,835.2,"1",1,"Ludemann thesis: msats mgri, mt mmur",NA,NA,NA,NA,NA
"AB01","mmur037","Abt_Mm_Hamb044","AB 01","AB 01","AB B04 01","0","1_D1",117,"T05","50",30,"Gallery forest","","Ambatoabo","B04","AB","ABB04","ABB04","S24 49 09,02","E046 40 10,76",2007,"m","62","BS","mmur","mmur","NH",7.3,211.7,"1",1,"","JF510207","murinus","CS",NA,NA
"AB03","mmur038","Abt_Mm_Hamb046","AB 03","AB 03","AB B04 03","0","1_D3",119,"T05","100",30,"Gallery forest","","Ambatoabo","B04","AB","ABB04","ABB04","S24 49 09,02","E046 40 10,76",2007,"f","63","BS","mmur","mmur","NH",10,288.84,"1",1,"","JF510209","murinus","CS",NA,NA
"AB04","mmur039","Abt_Mm_Hamb047","AB 04","AB 04","AB B12 04","0","1_D4",120,"T05","100",30,"Gallery forest","","Ambatoabo","B12","AB","ABB12","ABB12","S24 49 05,85","E046 40 16,66",2007,"f","77","BS","mmur","mmur","NH",10,289.42,"1",1,"","JF510210","murinus","CS",NA,NA
"AB06","mmur040","Abt_Mm_Hamb049","AB 06","AB 06","AB A16 06","0","1_D5",57,"T04","100",30,"Dry spiny forest","","Ambatoabo","A16","AB","ABA16","ABA16","S24 49 07,93","E046 39 51,95",2007,"m","65","BS","mmur","mmur","NH",12.6,365.4,"1",1,"","JF510212","murinus","CS",NA,NA
"AB12","mmur041","Abt_Mm_Hamb095","AB 12","AB 12","12","0","1_E1",123,"T05","100",30,"Gallery forest","","Ambatoabo","B06","AB","ABB06","ABB06","S24 49 08,50","E046 40 12,38",2008,"f","65","","mmur","mmur","NH",14,406,"1",1,"","JF510217","murinus","CS",NA,NA
"AB15","mmur042","Abt_Mm_Hamb098","AB 15","AB 15","15","0","1_E4",124,"T05","100",30,"Gallery forest","","Ambatoabo","B12","AB","ABB12","ABB12","S24 49 05,85","E046 40 16,66",2008,"m","53","","mmur","mmur","NH",18,522,"1",1,"","JF510220","murinus","CS",NA,NA
"AB16","mmur043","Abt_Mm_Hamb099","AB 16","AB 16","16","0","1_E5",61,"T06","100",30,"Dry spiny forest","","Ambatoabo","C04","AB","ABC04","ABC04","S24 49 03,10","E046 40 20,04",2008,"m","45","","mmur","mmur","NH",23.2,672.8,"1",1,"","JF510221","murinus","CS",NA,NA
"AB18","mmur044","Abt_Mm_Hamb101","AB 18","AB 18","18","0","1_E7",63,"T06","100",30,"Dry spiny forest","","Ambatoabo","C06","AB","ABC06","ABC06","S24 49 03,27","E046 40 21,77",2008,"f","79","","mmur","mmur","NH",18.7,542.3,"1",1,"","JF510223","murinus","CS",NA,NA
"HZ03","mgri075","Hzf_Mg_Hamb032","HZ 03","HZ 03","HZ A15 03","0","1_G2",20,"T01","50",30,"Dry spiny forest","","Hazofotsy","A15","HZ","HZA15","HZA15","S24 50 29,67","E046 31 43,95",2007,"f","42","CQ","mgri","mgri","NH",11.3,327.7,"1",1,"","JF510163","griseorufus","DQ",NA,NA
"HZ05","mgri076","Hzf_Mg_Hamb034","HZ 05","HZ 05","HZ B08 05","0","1_G4",22,"T02","100",30,"Dry spiny forest","","Hazofotsy","B08","HZ","HZB08","HZB08","S24 49 44,11","E046 32 51,48",2007,"f","50","CR","mgri","mgri","NH",10.7,310.3,"1",1,"","JF510165","griseorufus","DR",NA,NA
"HZ06","mgri077","Hzf_Mg_Hamb035","HZ 06","HZ 06","HZ B15 06","0","1_G5",23,"T02","100",30,"Dry spiny forest","","Hazofotsy","B15","HZ","HZB15","HZB15","S24 49 40,84","E046 32 57,15",2007,"f","57","CQ","mgri","mgri","NH",19.2,556.8,"1",1,"","JF510166","griseorufus","DQ",NA,NA
"HZ11","mgri078","Hzf_Mg_Hamb040","HZ 11","HZ 11","HZ A16 11","0","1_G9",27,"T01","100",30,"Dry spiny forest","","Hazofotsy","A16","HZ","HZA16","HZA16","S24 50 29,97","E046 31 44,51",2007,"m","47","CQ","mgri","mgri","NH",8.7,252.88,"1",1,"","JF510171","griseorufus","DQ",NA,NA
